title,Author,ASIN,seedNode,Modularity Class,In-Degree,Out-Degree,Degree,Eigenvector Centrality
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs (ed),0871209993,,9,1,0,1,0.007655858039354875
Left Back: A Century of Battles over School  Reform,Diane Ravitch,0743203267,,9,1,0,1,0.007655858039354875
The American Reader: Words That Moved a Nation,Diane Ravitch,0062737333,,9,1,0,1,0.007655858039354875
The Children in Room E4: American Education on Trial,Susan Eaton,1565126173,,9,1,0,1,0.007655858039354875
Patchwork Girl,Shelley Jackson,1884511236,,2,1,0,1,0.005993803779776524
We Feel Fine: An Almanac of Human Emotion,"Sep Kamvar, Jonathan Harris",B003STCKMG,,2,1,0,1,0.005993803779776524
The Net Delusion: The Dark Side of Internet Freedom,Evgeny Morozov,1610391063,,2,1,0,1,0.005993803779776524
Victory Garden,Stuart Moulthrop,1884511031,,2,1,0,1,0.005993803779776524
House of Leaves,Mark Z. Danielewski,0375703764,,2,1,0,1,0.005993803779776524
A Touch of Code: Interactive Installations and Experiences,"Robert Klanten,Sven Ehmann,Verena Hanschke,Lukas Feireiss (eds)",3899553314,,10,4,10,14,0.0405271292567407
Generative Art,Matt Pearson,1935182625,,10,4,10,14,0.0405271292567407
"Sensorium: Embodied Experience, Technology, and Contemporary Art",Caroline A. Jones (ed),0262101173,,10,3,10,13,0.03174703066560192
Reading Moving Letters: Digital Literature in Research and Teaching.  A Handbook     Media Upheavals (Medienumbruche: Media Upheavals),"Roberto Simanowski,J√∂rgen Sch√§fer,Peter Gendolla (eds)",3837611302,,7,1,5,6,0.0161044339938194
Act/React: Interactive Installation Art,"Joseph D. Ketner II,George Fifield,Judith S. Donath,ASPECT: The Chronicle of New Media Art (eds)",0981520812,,10,1,8,9,0.0161044339938194
Staging Space: Scenic Interiors and Spatial Experiences,"Robert Klanten,Lukas Feireiss (eds)",3899553160,,10,1,0,1,0.011115293559484705
ART+COM: Media Spaces and Installations,"Joachim Sauter, Susanne Jaschko, Jussi √Ñngeslev√§",3899552857,,10,1,0,1,0.011115293559484705
Talk to Me: Design and the Communication between People and Objects,"Jamer Hunt, Alexandra Midal, Paola Antonelli",0870707965,,10,1,0,1,0.011115293559484705
"Making Things See: 3D vision with Kinect, Processing, Arduino, and MakerBot (Make: Books)",Greg Borenstein,1449307078,,10,1,0,1,0.011115293559484705
Visual Complexity: Mapping Patterns of Information,Manuel Lima,1568989369,,10,2,0,2,0.022230587118969376
Processing: A Programming Handbook for Visual Designers and Artists,"Casey Reas, Ben Fry",0262182629,,10,1,0,1,0.011115293559484705
Getting Started with Processing,"Casey Reas, Ben Fry",144937980X,,10,1,0,1,0.011115293559484705
"Learning Processing: A Beginner&quot;s Guide to Programming Images, Animation, and Interaction (Morgan Kaufmann Series in Computer Graphics)",Daniel Shiffman,0123736021,,10,1,0,1,0.011115293559484705
Visualizing Data: Exploring and Explaining Data with the Processing Environment,Ben Fry,0596514557,,10,1,0,1,0.011115293559484705
Processing for Visual Artists: How to Create Expressive Images and Interactive Art,Andrew Glassner,1568817169,,10,1,0,1,0.011115293559484705
After Modern Art 1945-2000 (Oxford History of Art),David Hopkins,019284234X,,10,1,0,1,0.008780098591138747
See Yourself Sensing: Redefining Human Perception,Madeline Schwartzman,1907317295,,10,1,0,1,0.008780098591138747
Interactive Architecture,"Michael Fox, Miles Kemp",1568988362,,10,1,0,1,0.008780098591138747
Art in Theory 1900 - 2000: An Anthology of Changing Ideas,"Charles Harrison,Dr Paul J. Wood (eds)",0631227083,,10,1,0,1,0.008780098591138747
4dsocial: Interactive Design Environments (Architectural Design),Lucy Bullivant (ed),0470319119,,10,1,0,1,0.008780098591138747
Digital Fabrications: Architectural and Material Techniques (Architecture Briefs),Lisa Iwamoto,1568987900,,10,1,0,1,0.008780098591138747
The Artist&quot;s Body (Themes & Movements),"Tracey Warr,Amelia Jones (eds)",0714863939,,10,1,0,1,0.008780098591138747
Uncreative Writing: Managing Language in the Digital Age,Kenneth Goldsmith,0231149913,,7,2,0,2,0.025359530579902347
The Exploit: A Theory of Networks (Electronic Mediations),"Alexander R. Galloway, Eugene Thacker",0816650446,,7,1,0,1,0.004527303112297819
Art of the Digital Age,Bruce Wands,0500286299,,10,1,0,1,0.004527303112297819
Installation Art,Claire Bishop,1854375180,,10,1,0,1,0.004527303112297819
Screens: Viewing Media Installation Art (Electronic Mediations),Kate Mondloch,0816665222,,10,1,0,1,0.004527303112297819
The Contingent Object of Contemporary Art,Martha Buskirk,0262524422,,10,1,0,1,0.004527303112297819
Digital Detroit: Rhetoric and Space in the Age of the Network,Jeff Rice,0809330873,,6,1,0,1,0.008108451481565875
Avatar Emergency (New Media Theory),Gregory L. Ulmer,1602352895,,6,1,0,1,0.008108451481565875
HTML5 Canvas,"Steve Fulton, Jeff Fulton",144939390X,,6,1,0,1,0.008108451481565875
Networked Art,Craig J. Saper,0816637075,,7,1,0,1,0.008108451481565875
