Id,Label,title,Author,ASIN,SalesRank,Publisher,PublicationDate,ProductGroup,ProductTypeName,Language,ListPrice,FormattedPrice,CurrencyCode,TotalUsed,NumberOfPages,ISBN,image,HasReviews,seedNode,crawlDepth,Time Interval
n-1d297466cfe78d6f4bd9a4817dcc27e0,"Simians, Cyborgs, and Women: The Reinvention of Nature by Donna J. Haraway","Simians, Cyborgs, and Women: The Reinvention of Nature",Donna J. Haraway,0415903874,158467,Routledge,1990-12-12,Book,ABIS_BOOK,English,4495,$44.95,USD,30,312,0415903874,http://ecx.images-amazon.com/images/I/41u7BDJxssL._SL75_.jpg,false,,2,"<[6.609564E11, 6.609564E11]>"
n-6b8c36407262b6c89ec921ef140ee98b,The Open: Man and Animal by Giorgio Agamben,The Open: Man and Animal,Giorgio Agamben,0804747385,201642,Stanford University Press,2003-10-23,Book,ABIS_BOOK,English,2095,$20.95,USD,26,120,0804747385,http://ecx.images-amazon.com/images/I/41nvyezn5qL._SL75_.jpg,false,,2,"<[1.06686E12, 1.06686E12]>"
n-a0c607cad963149667cfb0cb95779bd6,"Discourse Networks, 1800/1900 by Friedrich A. Kittler, Michael Metteer","Discourse Networks, 1800/1900","Friedrich A. Kittler, Michael Metteer",0804720991,69780,Stanford University Press,1992-07-01,Book,ABIS_BOOK,English,3295,$32.95,USD,21,496,0804720991,http://ecx.images-amazon.com/images/I/416KR536QYL._SL75_.jpg,false,,2,"<[7.099416E11, 7.099416E11]>"
n-6a6516d7acedf463d1ddcc48eeb927d6,"Media Archæology: Approaches, Applications, and Implications by Erkki Huhtamo (ed)","Media Archæology: Approaches, Applications, and Implications",Erkki Huhtamo (ed),0520262743,494233,University of California Press,2011-06-12,Book,ABIS_BOOK,English,2695,$26.95,USD,15,368,0520262743,http://ecx.images-amazon.com/images/I/51MDmISfFSL._SL75_.jpg,false,,2,"<[1.3078296E12, 1.3078296E12]>"
n-5f775a35f547fa4e915ca69243812302,How Buildings Learn: What Happens After They&quot;re Built by Stewart Brand,How Buildings Learn: What Happens After They&quot;re Built,Stewart Brand,0140139966,46031,Penguin Books,1995-10-01,Book,ABIS_BOOK,English,3500,$35.00,USD,51,252,0140139966,http://ecx.images-amazon.com/images/I/51s1YrnJtrL._SL75_.jpg,false,,2,"<[8.12502E11, 8.12502E11]>"
n-bc17c28043e4c14ff2176dd6bcc9ced5,Stuff by Daniel Miller,Stuff,Daniel Miller,0745644244,163153,Polity,2009-12-02,Book,ABIS_BOOK,English,2295,$22.95,USD,16,220,0745644244,http://ecx.images-amazon.com/images/I/417dC-J121L._SL75_.jpg,false,,2,"<[1.2597084E12, 1.2597084E12]>"
n-5f600496511f2ce457439e06ef383174,"The Lives They Left Behind: Suitcases from a State Hospital Attic by Darby Penney, Peter Stastny",The Lives They Left Behind: Suitcases from a State Hospital Attic,"Darby Penney, Peter Stastny",1934137146,35438,Bellevue Literary Press,2009-01-01,Book,ABIS_BOOK,English,1495,$14.95,USD,30,205,1934137146,http://ecx.images-amazon.com/images/I/51GDtpG7T6L._SL75_.jpg,false,,2,"<[1.2307644E12, 1.2307644E12]>"
n-a9a741751371e49b8d26f2e066c677f4,"Digital Art and Meaning: Reading Kinetic Poetry, Text Machines, Mapping Art, and Interactive Installations (Electronic Mediations) by Roberto Simanowski","Digital Art and Meaning: Reading Kinetic Poetry, Text Machines, Mapping Art, and Interactive Installations (Electronic Mediations)",Roberto Simanowski,0816667381,355287,Univ Of Minnesota Press,2011-05-20,Book,ABIS_BOOK,English,2500,$25.00,USD,9,328,0816667381,http://ecx.images-amazon.com/images/I/41eev6RmkjL._SL75_.jpg,,,2,"<[1.3058424E12, 1.3058424E12]>"
n-3c8cf7d145e431e158cab8169244d77b,The Language of New Media (Leonardo Books) by Lev Manovich,The Language of New Media (Leonardo Books),Lev Manovich,0262632551,29779,The MIT Press,2002-03-07,Book,ABIS_BOOK,English,2995,$29.95,USD,52,400,0262632551,http://ecx.images-amazon.com/images/I/51E8CRYAMNL._SL75_.jpg,false,,2,"<[1.0154556E12, 1.0154556E12]>"
n-336a0bc75edd09fb5cdf2f35ffe4dc38,"Form+Code in Design, Art, and Architecture (Design Briefs) by Casey Reas, Chandler McWilliams","Form+Code in Design, Art, and Architecture (Design Briefs)","Casey Reas, Chandler McWilliams",1568989377,67950,Princeton Architectural Press,2010-09-01,Book,ABIS_BOOK,English,2495,$24.95,USD,30,176,1568989377,http://ecx.images-amazon.com/images/I/511-bsH1xaL._SL75_.jpg,false,,2,"<[1.283292E12, 1.283292E12]>"
n-e60554e6c164db0ddcf338298d14a83a,Mechanisms: New Media and the Forensic Imagination by Matthew G. Kirschenbaum,Mechanisms: New Media and the Forensic Imagination,Matthew G. Kirschenbaum,026251740X,445342,The MIT Press,2012-01-06,Book,ABIS_BOOK,English,1900,$19.00,USD,19,314,026251740X,http://ecx.images-amazon.com/images/I/51EM%2B6ux8dL._SL75_.jpg,false,,2,"<[1.3258044E12, 1.3258044E12]>"
